城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
2,5,6,111,17,1,2,1000,0,1,0,0,2,0,4,3,2,1,0,1,1,2,1
2,8,57,112,42,1,2,1400,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,6,7,113,74,1,2,800,0,2,1,1,2,0,2,1,6,1,0,1,1,2,1
2,2,38,114,21,2,5,1300,3,2,1,1,2,12,3,3,6,1,0,1,1,2,1
2,14,58,115,60,1,2,1000,0,1,1,1,2,0,2,2,29,2,0,1,1,2,1
2,9,19,116,14,2,2,850,3,3,1,1,2,10,3,3,14,2,1,1,1,2,1
2,11,59,117,94,1,2,1000,0,2,1,1,2,0,2,1,33,2,0,1,1,2,1
2,10,26,118,18,2,2,810,3,3,1,1,2,12,3,3,6,1,1,1,1,2,1
2,7,10,107,23,1,2,1200,1,1,1,1,2,12,2,3,7,1,0,1,1,2,1
2,10,46,119,37,1,2,1000,1,1,1,1,2,24,2,3,6,1,0,1,1,2,1
2,2,22,96,15,2,2,900,0,1,1,1,2,0,2,3,8,1,0,1,1,2,1
2,2,27,120,75,2,2,1200,1,2,1,1,2,24,4,2,6,1,0,1,1,2,1
2,8,60,121,40,1,2,1100,1,1,1,1,2,36,2,3,6,1,0,1,1,2,1
2,2,27,122,15,2,2,950,3,3,1,1,2,12,3,3,6,1,1,1,1,2,1
2,5,16,123,25,1,2,1500,0,1,1,1,1,0,2,3,6,1,0,1,1,2,1
2,9,61,124,9,2,3,1130,1,5,1,2,2,12,3,3,7,0,0,0,0,0,0
2,7,29,125,45,1,4,1500,0,1,1,1,2,0,2,3,9,2,0,1,1,2,1
2,4,51,126,15,2,2,900,3,3,1,1,2,12,3,3,8,1,1,1,1,2,1
2,1,1,127,59,1,2,2200,1,1,1,1,2,12,2,3,12,2,0,1,1,2,1
2,7,29,128,19,2,2,1300,3,3,1,1,2,12,3,3,33,2,2,1,1,2,1
2,2,22,129,63,1,2,1100,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,9,61,130,16,2,2,900,3,3,1,1,2,12,3,3,7,1,1,1,1,2,1
2,7,30,131,42,1,2,1300,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,9,61,130,22,2,2,900,3,4,1,1,2,12,3,3,7,1,1,1,1,2,1
2,7,29,132,25,1,2,1400,0,1,0,1,2,0,2,3,4,1,0,0,0,2,1
2,8,57,133,54,1,2,1300,1,1,1,1,2,12,4,3,6,1,0,1,1,2,1
2,11,62,134,198,1,2,1000,0,2,1,1,2,0,2,3,14,2,0,0,0,2,1
2,7,29,135,24,1,2,1500,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,9,61,130,20,2,2,900,3,4,1,1,2,12,3,3,7,1,1,1,1,2,1
2,7,29,136,11,2,4,1390,1,4,1,2,2,12,3,3,6,0,0,0,0,0,0
2,5,40,60,67,1,1,2000,1,1,1,1,2,12,3,3,50,2,2,1,1,2,1
2,10,46,137,30,1,2,1100,1,1,1,1,2,24,2,2,6,1,0,1,1,2,1
2,2,22,138,79,2,2,1300,1,2,1,1,2,12,2,3,18,2,0,1,1,2,1
2,2,22,139,15,1,4,600,0,1,0,1,2,0,2,3,6,1,0,1,1,2,1
2,3,20,140,54,1,2,300,0,1,1,1,2,0,2,2,11,1,0,0,0,2,1
2,2,63,141,10,2,4,1190,1,3,1,1,2,12,3,3,7,0,0,0,0,0,0
2,2,63,141,12,2,1,1290,1,2,1,1,2,12,3,3,7,0,0,0,0,0,0
2,4,23,142,10,2,4,1230,1,3,1,2,2,12,3,3,5,1,2,1,1,2,0
2,8,57,143,112,1,2,1000,0,2,2,2,2,0,2,3,6,1,0,1,1,2,1
2,10,26,144,36,1,2,1100,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,13,53,145,105,1,2,1000,0,2,1,1,2,0,2,3,6,1,0,1,1,2,1
